# lambda albedo      g      Cext         K
   231.7 0.2892 0.9406 3.056e-22 3.977e+04
   233.1 0.2891 0.9397 3.073e-22 4.000e+04
   234.4 0.2888 0.9389 3.089e-22 4.022e+04
   235.8 0.2882 0.9382 3.104e-22 4.045e+04
   237.1 0.2876 0.9374 3.119e-22 4.068e+04
   238.5 0.2870 0.9367 3.133e-22 4.090e+04
   239.9 0.2864 0.9360 3.148e-22 4.113e+04
   241.3 0.2857 0.9353 3.162e-22 4.136e+04
   242.7 0.2850 0.9346 3.177e-22 4.159e+04
   244.1 0.2843 0.9338 3.192e-22 4.182e+04
   245.5 0.2836 0.9331 3.206e-22 4.206e+04
   246.9 0.2828 0.9324 3.221e-22 4.229e+04
   248.3 0.2821 0.9317 3.235e-22 4.253e+04
   249.7 0.2813 0.9309 3.250e-22 4.277e+04
   251.2 0.2806 0.9302 3.265e-22 4.301e+04
   252.6 0.2798 0.9295 3.279e-22 4.325e+04
   254.1 0.2790 0.9287 3.294e-22 4.349e+04
   255.6 0.2782 0.9280 3.309e-22 4.373e+04
   257.0 0.2774 0.9273 3.323e-22 4.397e+04
   258.5 0.2766 0.9265 3.338e-22 4.422e+04
   260.0 0.2758 0.9258 3.353e-22 4.446e+04
   261.5 0.2750 0.9251 3.368e-22 4.471e+04
   263.0 0.2741 0.9243 3.383e-22 4.496e+04
   264.5 0.2733 0.9236 3.398e-22 4.521e+04
   266.1 0.2725 0.9228 3.413e-22 4.546e+04
   267.6 0.2717 0.9221 3.427e-22 4.571e+04
   269.2 0.2708 0.9213 3.442e-22 4.596e+04
   270.7 0.2700 0.9206 3.457e-22 4.621e+04
   272.3 0.2692 0.9198 3.472e-22 4.646e+04
   273.8 0.2684 0.9191 3.487e-22 4.671e+04
   275.4 0.2676 0.9183 3.502e-22 4.696e+04
   277.0 0.2667 0.9176 3.517e-22 4.722e+04
   278.6 0.2659 0.9168 3.532e-22 4.747e+04
   280.2 0.2651 0.9161 3.547e-22 4.773e+04
   281.8 0.2643 0.9153 3.562e-22 4.798e+04
   283.5 0.2634 0.9145 3.577e-22 4.824e+04
   285.1 0.2626 0.9137 3.593e-22 4.851e+04
   286.7 0.2618 0.9130 3.608e-22 4.877e+04
   288.4 0.2609 0.9122 3.624e-22 4.904e+04
   290.1 0.2601 0.9114 3.639e-22 4.930e+04
   291.7 0.2593 0.9106 3.655e-22 4.957e+04
   293.4 0.2584 0.9099 3.670e-22 4.984e+04
   295.1 0.2576 0.9091 3.686e-22 5.011e+04
   296.8 0.2567 0.9083 3.702e-22 5.038e+04
   298.5 0.2559 0.9075 3.718e-22 5.065e+04
   300.3 0.2551 0.9067 3.734e-22 5.092e+04
   302.0 0.2542 0.9059 3.750e-22 5.120e+04
   303.7 0.2534 0.9051 3.765e-22 5.147e+04
   305.5 0.2526 0.9043 3.781e-22 5.175e+04
   307.3 0.2517 0.9035 3.797e-22 5.202e+04
   309.0 0.2509 0.9027 3.813e-22 5.230e+04
   310.8 0.2501 0.9019 3.829e-22 5.258e+04
   312.6 0.2493 0.9011 3.845e-22 5.286e+04
   314.4 0.2485 0.9003 3.862e-22 5.313e+04
   316.2 0.2477 0.8995 3.878e-22 5.341e+04
   318.1 0.2469 0.8987 3.894e-22 5.369e+04
   319.9 0.2461 0.8979 3.910e-22 5.397e+04
   321.7 0.2453 0.8971 3.926e-22 5.426e+04
   323.6 0.2445 0.8963 3.943e-22 5.454e+04
   325.5 0.2437 0.8955 3.959e-22 5.482e+04
   327.3 0.2429 0.8947 3.975e-22 5.510e+04
   329.2 0.2421 0.8939 3.991e-22 5.539e+04
   331.1 0.2413 0.8931 4.008e-22 5.567e+04
   333.0 0.2405 0.8923 4.024e-22 5.596e+04
   335.0 0.2398 0.8915 4.040e-22 5.624e+04
   336.9 0.2390 0.8907 4.057e-22 5.653e+04
   338.8 0.2382 0.8899 4.073e-22 5.681e+04
   340.8 0.2374 0.8891 4.090e-22 5.710e+04
   342.8 0.2366 0.8883 4.106e-22 5.739e+04
   344.7 0.2359 0.8875 4.122e-22 5.768e+04
   346.7 0.2351 0.8866 4.139e-22 5.797e+04
   348.7 0.2343 0.8858 4.156e-22 5.826e+04
   350.8 0.2336 0.8850 4.172e-22 5.855e+04
   352.8 0.2329 0.8842 4.189e-22 5.883e+04
   354.8 0.2320 0.8835 4.206e-22 5.914e+04
   356.9 0.2311 0.8828 4.225e-22 5.948e+04
   358.9 0.2303 0.8821 4.242e-22 5.978e+04
   361.0 0.2297 0.8815 4.256e-22 6.003e+04
   363.1 0.2291 0.8808 4.268e-22 6.024e+04
   365.2 0.2289 0.8802 4.275e-22 6.036e+04
   367.3 0.2291 0.8796 4.271e-22 6.028e+04
   369.4 0.2295 0.8790 4.266e-22 6.019e+04
   371.5 0.2299 0.8784 4.260e-22 6.007e+04
   373.7 0.2304 0.8777 4.254e-22 5.994e+04
   375.8 0.2310 0.8770 4.246e-22 5.979e+04
   378.0 0.2312 0.8762 4.246e-22 5.977e+04
   380.2 0.2314 0.8753 4.247e-22 5.978e+04
   382.4 0.2315 0.8743 4.250e-22 5.980e+04
   384.6 0.2315 0.8733 4.254e-22 5.985e+04
   386.8 0.2315 0.8723 4.259e-22 5.992e+04
   389.0 0.2315 0.8713 4.265e-22 6.001e+04
   391.3 0.2314 0.8702 4.272e-22 6.012e+04
   393.6 0.2312 0.8692 4.280e-22 6.024e+04
   395.8 0.2310 0.8681 4.289e-22 6.038e+04
   398.1 0.2308 0.8670 4.298e-22 6.054e+04
   400.4 0.2306 0.8659 4.309e-22 6.070e+04
   402.7 0.2303 0.8647 4.320e-22 6.088e+04
   405.0 0.2300 0.8636 4.331e-22 6.106e+04
   407.4 0.2297 0.8624 4.344e-22 6.127e+04
   409.7 0.2293 0.8612 4.357e-22 6.148e+04
   412.1 0.2289 0.8600 4.371e-22 6.171e+04
   414.5 0.2285 0.8588 4.384e-22 6.193e+04
