# lambda albedo      g      Cext         K
   402.7 0.2909 0.8546 2.915e-22 5.895e+04
   405.0 0.2908 0.8533 2.921e-22 5.909e+04
   407.4 0.2906 0.8521 2.927e-22 5.923e+04
   409.7 0.2904 0.8509 2.933e-22 5.937e+04
   412.1 0.2903 0.8496 2.939e-22 5.951e+04
   414.5 0.2902 0.8483 2.946e-22 5.964e+04
   416.9 0.2901 0.8470 2.952e-22 5.978e+04
   419.3 0.2900 0.8456 2.959e-22 5.992e+04
   421.7 0.2898 0.8443 2.965e-22 6.006e+04
   424.1 0.2897 0.8429 2.972e-22 6.020e+04
   426.6 0.2896 0.8415 2.978e-22 6.035e+04
   429.0 0.2894 0.8401 2.985e-22 6.050e+04
   431.5 0.2893 0.8388 2.992e-22 6.065e+04
   434.0 0.2891 0.8374 2.999e-22 6.081e+04
   436.5 0.2889 0.8360 3.006e-22 6.097e+04
   439.0 0.2887 0.8346 3.013e-22 6.112e+04
   441.6 0.2885 0.8332 3.020e-22 6.128e+04
   444.1 0.2884 0.8318 3.027e-22 6.143e+04
   446.7 0.2883 0.8304 3.034e-22 6.158e+04
   449.3 0.2882 0.8289 3.040e-22 6.173e+04
   451.9 0.2882 0.8275 3.047e-22 6.188e+04
   454.5 0.2881 0.8260 3.054e-22 6.202e+04
   457.1 0.2881 0.8245 3.062e-22 6.217e+04
   459.7 0.2880 0.8230 3.069e-22 6.232e+04
   462.4 0.2880 0.8215 3.076e-22 6.247e+04
   465.1 0.2879 0.8200 3.083e-22 6.263e+04
   467.7 0.2879 0.8184 3.091e-22 6.278e+04
   470.4 0.2879 0.8168 3.099e-22 6.294e+04
   473.2 0.2879 0.8152 3.106e-22 6.310e+04
   475.9 0.2879 0.8136 3.114e-22 6.325e+04
   478.6 0.2880 0.8120 3.122e-22 6.341e+04
   481.4 0.2880 0.8104 3.130e-22 6.356e+04
   484.2 0.2881 0.8087 3.138e-22 6.372e+04
   487.0 0.2882 0.8070 3.146e-22 6.388e+04
   489.8 0.2884 0.8052 3.155e-22 6.404e+04
   492.6 0.2885 0.8035 3.164e-22 6.420e+04
   495.5 0.2887 0.8017 3.172e-22 6.436e+04
   498.3 0.2889 0.7998 3.181e-22 6.452e+04
   501.2 0.2891 0.7980 3.190e-22 6.469e+04
   504.1 0.2894 0.7961 3.200e-22 6.486e+04
   507.0 0.2896 0.7941 3.209e-22 6.503e+04
   509.9 0.2900 0.7921 3.219e-22 6.520e+04
   512.9 0.2903 0.7901 3.229e-22 6.537e+04
   515.8 0.2907 0.7880 3.240e-22 6.555e+04
   518.8 0.2911 0.7859 3.251e-22 6.572e+04
   521.8 0.2916 0.7837 3.261e-22 6.590e+04
   524.8 0.2921 0.7814 3.273e-22 6.609e+04
   527.8 0.2927 0.7790 3.285e-22 6.628e+04
   530.9 0.2933 0.7766 3.298e-22 6.647e+04
   533.9 0.2939 0.7741 3.311e-22 6.668e+04
   537.0 0.2946 0.7716 3.324e-22 6.688e+04
   540.1 0.2952 0.7692 3.336e-22 6.708e+04
   543.3 0.2956 0.7670 3.347e-22 6.725e+04
   546.4 0.2962 0.7645 3.360e-22 6.745e+04
   549.5 0.2970 0.7617 3.375e-22 6.768e+04
   552.7 0.2979 0.7587 3.392e-22 6.793e+04
   555.9 0.2989 0.7555 3.411e-22 6.821e+04
   559.1 0.3002 0.7520 3.432e-22 6.851e+04
   562.3 0.3015 0.7483 3.455e-22 6.883e+04
   565.6 0.3047 0.7436 3.473e-22 6.888e+04
   568.9 0.3087 0.7381 3.494e-22 6.890e+04
   572.1 0.3124 0.7324 3.522e-22 6.908e+04
   575.4 0.3156 0.7264 3.556e-22 6.943e+04
   578.8 0.3183 0.7203 3.596e-22 6.993e+04
   582.1 0.3194 0.7151 3.650e-22 7.086e+04
   585.5 0.3212 0.7085 3.705e-22 7.173e+04
   588.8 0.3226 0.7018 3.765e-22 7.274e+04
   592.2 0.3219 0.6946 3.855e-22 7.456e+04
   595.7 0.3193 0.6873 3.970e-22 7.708e+04
   599.1 0.3164 0.6804 4.089e-22 7.973e+04
   602.6 0.3133 0.6736 4.212e-22 8.251e+04
   606.0 0.3098 0.6672 4.339e-22 8.542e+04
   609.5 0.3062 0.6609 4.471e-22 8.848e+04
   613.1 0.3025 0.6548 4.609e-22 9.170e+04
   616.6 0.2986 0.6489 4.751e-22 9.506e+04
   620.2 0.2946 0.6433 4.898e-22 9.855e+04
   623.7 0.2903 0.6396 5.019e-22 1.016e+05
   627.3 0.2862 0.6362 5.136e-22 1.046e+05
   631.0 0.2823 0.6331 5.250e-22 1.075e+05
   634.6 0.2786 0.6302 5.358e-22 1.103e+05
   638.3 0.2751 0.6276 5.462e-22 1.129e+05
   641.9 0.2717 0.6253 5.560e-22 1.155e+05
   645.7 0.2686 0.6232 5.652e-22 1.179e+05
   649.4 0.2657 0.6213 5.738e-22 1.202e+05
   653.1 0.2630 0.6195 5.817e-22 1.223e+05
   656.9 0.2608 0.6179 5.883e-22 1.241e+05
   660.7 0.2588 0.6164 5.945e-22 1.257e+05
   664.5 0.2569 0.6150 6.000e-22 1.272e+05
   668.3 0.2553 0.6137 6.050e-22 1.285e+05
   672.2 0.2537 0.6125 6.095e-22 1.297e+05
   676.1 0.2524 0.6114 6.134e-22 1.308e+05
   680.0 0.2511 0.6104 6.169e-22 1.318e+05
   683.9 0.2500 0.6095 6.198e-22 1.326e+05
   687.9 0.2490 0.6087 6.223e-22 1.333e+05
