# lambda albedo      g      Cext         K
   255.6 0.3263 0.9363 3.296e-22 3.917e+04
   257.0 0.3256 0.9356 3.308e-22 3.934e+04
   258.5 0.3250 0.9349 3.320e-22 3.952e+04
   260.0 0.3243 0.9343 3.332e-22 3.970e+04
   261.5 0.3237 0.9336 3.343e-22 3.988e+04
   263.0 0.3230 0.9329 3.355e-22 4.006e+04
   264.5 0.3223 0.9322 3.367e-22 4.024e+04
   266.1 0.3216 0.9315 3.378e-22 4.042e+04
   267.6 0.3209 0.9308 3.390e-22 4.060e+04
   269.2 0.3202 0.9301 3.402e-22 4.078e+04
   270.7 0.3196 0.9294 3.413e-22 4.096e+04
   272.3 0.3189 0.9287 3.425e-22 4.114e+04
   273.8 0.3182 0.9280 3.436e-22 4.132e+04
   275.4 0.3175 0.9273 3.448e-22 4.150e+04
   277.0 0.3168 0.9266 3.459e-22 4.168e+04
   278.6 0.3162 0.9259 3.471e-22 4.186e+04
   280.2 0.3155 0.9252 3.482e-22 4.204e+04
   281.8 0.3148 0.9245 3.494e-22 4.222e+04
   283.5 0.3141 0.9237 3.505e-22 4.240e+04
   285.1 0.3134 0.9230 3.517e-22 4.259e+04
   286.7 0.3127 0.9223 3.529e-22 4.277e+04
   288.4 0.3120 0.9215 3.540e-22 4.296e+04
   290.1 0.3113 0.9208 3.552e-22 4.315e+04
   291.7 0.3106 0.9201 3.564e-22 4.333e+04
   293.4 0.3099 0.9193 3.576e-22 4.352e+04
   295.1 0.3092 0.9186 3.587e-22 4.371e+04
   296.8 0.3084 0.9179 3.599e-22 4.390e+04
   298.5 0.3077 0.9171 3.611e-22 4.409e+04
   300.3 0.3070 0.9164 3.623e-22 4.428e+04
   302.0 0.3063 0.9156 3.635e-22 4.447e+04
   303.7 0.3056 0.9149 3.646e-22 4.466e+04
   305.5 0.3049 0.9141 3.658e-22 4.485e+04
   307.3 0.3042 0.9134 3.670e-22 4.504e+04
   309.0 0.3035 0.9126 3.682e-22 4.523e+04
   310.8 0.3028 0.9118 3.694e-22 4.542e+04
   312.6 0.3021 0.9111 3.706e-22 4.561e+04
   314.4 0.3015 0.9103 3.717e-22 4.580e+04
   316.2 0.3008 0.9095 3.729e-22 4.599e+04
   318.1 0.3001 0.9087 3.741e-22 4.618e+04
   319.9 0.2994 0.9080 3.753e-22 4.637e+04
   321.7 0.2987 0.9072 3.765e-22 4.656e+04
   323.6 0.2981 0.9064 3.777e-22 4.675e+04
   325.5 0.2974 0.9056 3.789e-22 4.694e+04
   327.3 0.2967 0.9048 3.800e-22 4.714e+04
   329.2 0.2961 0.9041 3.812e-22 4.733e+04
   331.1 0.2954 0.9033 3.824e-22 4.752e+04
   333.0 0.2947 0.9025 3.835e-22 4.771e+04
   335.0 0.2940 0.9017 3.847e-22 4.790e+04
   336.9 0.2934 0.9009 3.859e-22 4.809e+04
   338.8 0.2927 0.9001 3.871e-22 4.828e+04
   340.8 0.2921 0.8993 3.883e-22 4.848e+04
   342.8 0.2914 0.8985 3.894e-22 4.867e+04
   344.7 0.2907 0.8977 3.906e-22 4.886e+04
   346.7 0.2901 0.8969 3.918e-22 4.905e+04
